Model,Dataset,Missing Rate (%),Métrica,Teste
lpr1,sylva_prior,20,MAE,0.102280482296016
lpr1,sylva_prior,20,MAE,0.108364082805961
lpr1,sylva_prior,20,MAE,0.100185039633316
lpr1,sylva_prior,40,MAE,0.105378099845471
lpr1,sylva_prior,40,MAE,0.117611353067158
lpr1,sylva_prior,40,MAE,0.0977804310856907
lpr1,sylva_prior,40,MAE,0.10626777010684
lpr1,sylva_prior,40,MAE,0.0966554748611322
lpr1,sylva_prior,60,MAE,0.0983883434534219
lpr1,sylva_prior,60,MAE,0.116056732498818
lpr1,sylva_prior,60,MAE,0.0967289364004787
lpr1,sylva_prior,60,MAE,0.105337180251631
lpr1,sylva_prior,60,MAE,0.109797943918862
lpr1,fri_c4_1000_100,10,MAE,1.05821976567537
lpr1,fri_c4_1000_100,10,MAE,0.849241243752418
lpr1,fri_c4_1000_100,10,MAE,1.38770082375435
lpr1,fri_c4_1000_100,10,MAE,0.455523586958244
lpr1,fri_c4_1000_100,10,MAE,0.331662216276179
lpr1,fri_c4_1000_100,20,MAE,0.592071518695229
lpr1,fri_c4_1000_100,20,MAE,0.474671408512918
lpr1,fri_c4_1000_100,20,MAE,0.757836210650803
lpr1,fri_c4_1000_100,20,MAE,0.29337221293276
lpr1,fri_c4_1000_100,20,MAE,0.246895776377884
lpr1,fri_c4_1000_100,40,MAE,0.358067424449527
lpr1,fri_c4_1000_100,40,MAE,0.287753576012984
lpr1,fri_c4_1000_100,40,MAE,0.436833044861194
lpr1,fri_c4_1000_100,40,MAE,0.209765078526189
lpr1,fri_c4_1000_100,40,MAE,0.18756710809188
lpr1,fri_c4_1000_100,60,MAE,0.279926046782381
lpr1,fri_c4_1000_100,60,MAE,0.22898903883885
lpr1,fri_c4_1000_100,60,MAE,0.332809705988307
lpr1,fri_c4_1000_100,60,MAE,0.181545079945414
lpr1,fri_c4_1000_100,60,MAE,0.16712036160387
lpr2,sylva_prior,10,MAE,0.0989797119889371
lpr2,sylva_prior,10,MAE,0.125661707811456
lpr2,sylva_prior,10,MAE,0.11113049992522
lpr2,sylva_prior,10,MAE,0.114643505191
lpr2,sylva_prior,10,MAE,0.100008528737987
lpr2,sylva_prior,20,MAE,0.105561981255799
lpr2,sylva_prior,20,MAE,0.119535864093211
lpr2,sylva_prior,20,MAE,0.102335847653724
lpr2,sylva_prior,20,MAE,0.108539790546547
lpr2,sylva_prior,20,MAE,0.103565272977097
lpr2,sylva_prior,40,MAE,0.093426947253504
lpr2,sylva_prior,40,MAE,0.117892179124027
lpr2,sylva_prior,40,MAE,0.0990648699080523
lpr2,sylva_prior,40,MAE,0.103114947921282
lpr2,sylva_prior,40,MAE,0.0988105582484759
lpr2,sylva_prior,60,MAE,0.100949173685655
lpr2,sylva_prior,60,MAE,0.119662030392486
lpr2,sylva_prior,60,MAE,0.0970277767897546
lpr2,sylva_prior,60,MAE,0.102834908245251
lpr2,sylva_prior,60,MAE,0.107416894405036
lpr2,fri_c4_1000_100,10,MAE,1.05756610974206
lpr2,fri_c4_1000_100,10,MAE,0.849251414303948
lpr2,fri_c4_1000_100,10,MAE,1.38899724661188
lpr2,fri_c4_1000_100,10,MAE,0.459195162198353
lpr2,fri_c4_1000_100,10,MAE,0.337424459695915
lpr2,fri_c4_1000_100,20,MAE,0.591750178618723
lpr2,fri_c4_1000_100,20,MAE,0.474687348781925
lpr2,fri_c4_1000_100,20,MAE,0.759375778262473
lpr2,fri_c4_1000_100,20,MAE,0.29551640447771
lpr2,fri_c4_1000_100,20,MAE,0.254435146695089
lpr2,fri_c4_1000_100,40,MAE,0.358074905011097
lpr2,fri_c4_1000_100,40,MAE,0.287763885538819
lpr2,fri_c4_1000_100,40,MAE,0.439082332306383
lpr2,fri_c4_1000_100,40,MAE,0.212234937519287
lpr2,fri_c4_1000_100,40,MAE,0.195700812255346
lpr2,fri_c4_1000_100,60,MAE,0.280048648776299
lpr2,fri_c4_1000_100,60,MAE,0.228989034116269
lpr2,fri_c4_1000_100,60,MAE,0.335077048313488
lpr2,fri_c4_1000_100,60,MAE,0.184464923273362
lpr2,fri_c4_1000_100,60,MAE,0.177013614051006
lpr3,sylva_prior,10,MAE,0.104852922671238
lpr3,sylva_prior,10,MAE,0.130310217724929
lpr3,sylva_prior,10,MAE,0.113431542844583
lpr3,sylva_prior,10,MAE,0.114718656364372
lpr3,sylva_prior,10,MAE,0.100590328595429
lpr3,sylva_prior,20,MAE,0.0946066942161084
lpr3,sylva_prior,20,MAE,0.122358033426891
lpr3,sylva_prior,20,MAE,0.105166195822127
lpr3,sylva_prior,20,MAE,0.110521241338413
lpr3,sylva_prior,20,MAE,0.0990654987611579
lpr3,sylva_prior,40,MAE,0.0965124261418651
lpr3,sylva_prior,40,MAE,0.118962719050515
lpr3,sylva_prior,40,MAE,0.100430356275756
lpr3,sylva_prior,40,MAE,0.104454473622427
lpr3,sylva_prior,40,MAE,0.0976697966595426
lpr3,sylva_prior,60,MAE,0.102154674097075
lpr3,sylva_prior,60,MAE,0.117613995513619
lpr3,sylva_prior,60,MAE,0.0969200978232782
lpr3,sylva_prior,60,MAE,0.10029979206693
lpr3,sylva_prior,60,MAE,0.0981979380657062
lpr3,fri_c4_1000_100,10,MAE,1.05821629791102
lpr3,fri_c4_1000_100,10,MAE,0.849236934017009
lpr3,fri_c4_1000_100,10,MAE,1.38770255272514
lpr3,fri_c4_1000_100,10,MAE,0.455516177185812
lpr3,fri_c4_1000_100,10,MAE,0.331656280779913
lpr3,fri_c4_1000_100,20,MAE,0.592062844900452
lpr3,fri_c4_1000_100,20,MAE,0.474650961538018
lpr3,fri_c4_1000_100,20,MAE,0.757837108347096
lpr3,fri_c4_1000_100,20,MAE,0.293359959071494
lpr3,fri_c4_1000_100,20,MAE,0.246893192148382
lpr3,fri_c4_1000_100,40,MAE,0.35805460204136
lpr3,fri_c4_1000_100,40,MAE,0.287709136009855
lpr3,fri_c4_1000_100,40,MAE,0.436829552873252
lpr3,fri_c4_1000_100,40,MAE,0.209743084640399
lpr3,fri_c4_1000_100,40,MAE,0.187551421874413
lpr3,fri_c4_1000_100,60,MAE,0.279921885462123
lpr3,fri_c4_1000_100,60,MAE,0.22893924927297
lpr3,fri_c4_1000_100,60,MAE,0.332808512094612
lpr3,fri_c4_1000_100,60,MAE,0.18151558029997
lpr3,fri_c4_1000_100,60,MAE,0.167103488951507
mean,wiscosin,10,MAE,0.187378623952476
mean,wiscosin,10,MAE,0.18322262206729
mean,wiscosin,10,MAE,0.177349655933847
mean,wiscosin,10,MAE,0.153287824049826
mean,wiscosin,10,MAE,0.174119958911217
mean,wiscosin,20,MAE,0.17339515708957
mean,wiscosin,20,MAE,0.172721874278996
mean,wiscosin,20,MAE,0.170686178021969
mean,wiscosin,20,MAE,0.148932776688189
mean,wiscosin,20,MAE,0.155075577453626
mean,wiscosin,40,MAE,0.174140236868985
mean,wiscosin,40,MAE,0.170722136148184
mean,wiscosin,40,MAE,0.180214647982623
mean,wiscosin,40,MAE,0.153543312795995
mean,wiscosin,40,MAE,0.151616430065468
mean,wiscosin,60,MAE,0.191967900936558
mean,wiscosin,60,MAE,0.187060876209165
mean,wiscosin,60,MAE,0.200211372159861
mean,wiscosin,60,MAE,0.16974437132013
mean,wiscosin,60,MAE,0.163246329926854
mean,pima_diabetes,10,MAE,0.153772079942146
mean,pima_diabetes,10,MAE,0.129350413948224
mean,pima_diabetes,10,MAE,0.147350568697527
mean,pima_diabetes,10,MAE,0.147243157231919
mean,pima_diabetes,10,MAE,0.116117175364927
mean,pima_diabetes,20,MAE,0.136504562288848
mean,pima_diabetes,20,MAE,0.126205618160838
mean,pima_diabetes,20,MAE,0.145336428746717
mean,pima_diabetes,20,MAE,0.144883589069583
mean,pima_diabetes,20,MAE,0.123276203060643
mean,pima_diabetes,40,MAE,0.124066426683121
mean,pima_diabetes,40,MAE,0.122183575701764
mean,pima_diabetes,40,MAE,0.132511864188418
mean,pima_diabetes,40,MAE,0.151792653750167
mean,pima_diabetes,40,MAE,0.130396966327828
mean,pima_diabetes,60,MAE,0.12690572511095
mean,pima_diabetes,60,MAE,0.124490860892534
mean,pima_diabetes,60,MAE,0.133642384576321
mean,pima_diabetes,60,MAE,0.174139005232272
mean,pima_diabetes,60,MAE,0.14546854994026
mean,bc_coimbra,10,MAE,0.183439269364203
mean,bc_coimbra,10,MAE,0.218947384191413
mean,bc_coimbra,10,MAE,0.275905783955206
