Model,Dataset,Missing Rate (%),Métrica,Teste,Mecanismo
pmivae,fri_c4_1000_100,40,MAE,0.234842726779994,MAR-MEDIAN
pmivae,fri_c4_1000_100,40,MAE,0.168121343218417,MAR-MEDIAN
pmivae,fri_c4_1000_100,60,MAE,0.19686034054142,MAR-MEDIAN
pmivae,fri_c4_1000_100,60,MAE,0.290942775860841,MAR-MEDIAN
pmivae,fri_c4_1000_100,60,MAE,0.207767045660561,MAR-MEDIAN
pmivae,fri_c4_1000_100,60,MAE,0.183220756768506,MAR-MEDIAN
pmivae,fri_c4_1000_100,60,MAE,0.437966394317844,MAR-MEDIAN
lpr0,sylva_prior,10,MAE,0.0588603730049634,MAR-MEDIAN
lpr0,sylva_prior,10,MAE,0.0667509800650266,MAR-MEDIAN
lpr0,sylva_prior,10,MAE,0.067240174934234,MAR-MEDIAN
lpr0,sylva_prior,10,MAE,0.0706898365571592,MAR-MEDIAN
lpr0,sylva_prior,10,MAE,0.0790365431609055,MAR-MEDIAN
lpr0,sylva_prior,20,MAE,0.0719851832261154,MAR-MEDIAN
lpr0,sylva_prior,20,MAE,0.0752258044485907,MAR-MEDIAN
lpr0,sylva_prior,20,MAE,0.0691589445251549,MAR-MEDIAN
lpr0,sylva_prior,20,MAE,0.062951210595354,MAR-MEDIAN
lpr0,sylva_prior,20,MAE,0.0666259575428495,MAR-MEDIAN
lpr0,sylva_prior,40,MAE,0.061821106645203,MAR-MEDIAN
lpr0,sylva_prior,40,MAE,0.0844159819392242,MAR-MEDIAN
lpr0,sylva_prior,40,MAE,0.0829641686338004,MAR-MEDIAN
lpr0,sylva_prior,40,MAE,0.0770805632778337,MAR-MEDIAN
lpr0,sylva_prior,40,MAE,0.0723049230466484,MAR-MEDIAN
lpr0,sylva_prior,60,MAE,0.0810988192485924,MAR-MEDIAN
lpr0,sylva_prior,60,MAE,0.0614506447952749,MAR-MEDIAN
lpr0,sylva_prior,60,MAE,0.0689940957462879,MAR-MEDIAN
lpr0,sylva_prior,60,MAE,0.076196501303967,MAR-MEDIAN
lpr0,sylva_prior,60,MAE,0.0719647861265862,MAR-MEDIAN
lpr0,fri_c4_1000_100,10,MAE,1.05416996514468,MAR-MEDIAN
lpr0,fri_c4_1000_100,10,MAE,0.299050493488465,MAR-MEDIAN
lpr0,fri_c4_1000_100,10,MAE,0.111550207790724,MAR-MEDIAN
lpr0,fri_c4_1000_100,10,MAE,0.748461233642077,MAR-MEDIAN
lpr0,fri_c4_1000_100,10,MAE,0.0991545714286793,MAR-MEDIAN
lpr0,fri_c4_1000_100,20,MAE,0.0931242923850406,MAR-MEDIAN
lpr0,fri_c4_1000_100,20,MAE,0.0970608498638931,MAR-MEDIAN
lpr0,fri_c4_1000_100,20,MAE,0.128411421641221,MAR-MEDIAN
lpr0,fri_c4_1000_100,20,MAE,0.314299698889945,MAR-MEDIAN
lpr0,fri_c4_1000_100,20,MAE,0.144063236520762,MAR-MEDIAN
lpr0,fri_c4_1000_100,40,MAE,0.0985134104463573,MAR-MEDIAN
lpr0,fri_c4_1000_100,40,MAE,0.224128487066174,MAR-MEDIAN
lpr0,fri_c4_1000_100,40,MAE,0.29951543463541,MAR-MEDIAN
lpr0,fri_c4_1000_100,40,MAE,0.25756146067787,MAR-MEDIAN
lpr0,fri_c4_1000_100,40,MAE,0.154171388339302,MAR-MEDIAN
lpr0,fri_c4_1000_100,60,MAE,0.297470384676359,MAR-MEDIAN
lpr0,fri_c4_1000_100,60,MAE,0.254477690192709,MAR-MEDIAN
lpr0,fri_c4_1000_100,60,MAE,0.261561280545522,MAR-MEDIAN
lpr0,fri_c4_1000_100,60,MAE,0.187063326849304,MAR-MEDIAN
lpr0,fri_c4_1000_100,60,MAE,0.21953847995437,MAR-MEDIAN
lpr1,sylva_prior,10,MAE,0.0654983469704884,MAR-MEDIAN
lpr1,sylva_prior,10,MAE,0.0848686723557592,MAR-MEDIAN
lpr1,sylva_prior,10,MAE,0.0749623517006015,MAR-MEDIAN
lpr1,sylva_prior,10,MAE,0.0794673145909634,MAR-MEDIAN
lpr1,sylva_prior,10,MAE,0.0696697210716461,MAR-MEDIAN
lpr1,sylva_prior,20,MAE,0.0709613835835106,MAR-MEDIAN
lpr1,sylva_prior,20,MAE,0.0839862950178551,MAR-MEDIAN
lpr1,sylva_prior,20,MAE,0.0739737054416989,MAR-MEDIAN
lpr1,sylva_prior,20,MAE,0.0668982097577118,MAR-MEDIAN
lpr1,sylva_prior,20,MAE,0.0773107521114465,MAR-MEDIAN
lpr1,sylva_prior,40,MAE,0.0604535113311334,MAR-MEDIAN
lpr1,sylva_prior,40,MAE,0.0725226851661621,MAR-MEDIAN
lpr1,sylva_prior,40,MAE,0.0566673570458548,MAR-MEDIAN
lpr1,sylva_prior,40,MAE,0.0648011085456874,MAR-MEDIAN
lpr1,sylva_prior,40,MAE,0.0602985938210143,MAR-MEDIAN
lpr1,sylva_prior,60,MAE,0.0821260363345981,MAR-MEDIAN
lpr1,sylva_prior,60,MAE,0.0709690944718154,MAR-MEDIAN
lpr1,sylva_prior,60,MAE,0.077327484381219,MAR-MEDIAN
lpr1,sylva_prior,60,MAE,0.0659063646056025,MAR-MEDIAN
lpr1,sylva_prior,60,MAE,0.0695560441285189,MAR-MEDIAN
lpr1,fri_c4_1000_100,10,MAE,0.581123830194862,MAR-MEDIAN
lpr1,fri_c4_1000_100,10,MAE,0.282375028611892,MAR-MEDIAN
lpr1,fri_c4_1000_100,10,MAE,0.0998317976800997,MAR-MEDIAN
lpr1,fri_c4_1000_100,10,MAE,0.118370970713362,MAR-MEDIAN
lpr1,fri_c4_1000_100,10,MAE,0.115240072899657,MAR-MEDIAN
lpr1,fri_c4_1000_100,20,MAE,0.116866213856629,MAR-MEDIAN
lpr1,fri_c4_1000_100,20,MAE,0.342174111384812,MAR-MEDIAN
lpr1,fri_c4_1000_100,20,MAE,0.324139873543521,MAR-MEDIAN
lpr1,fri_c4_1000_100,20,MAE,0.158005585075907,MAR-MEDIAN
lpr1,fri_c4_1000_100,20,MAE,0.117512101828168,MAR-MEDIAN
lpr1,fri_c4_1000_100,40,MAE,0.108545254552731,MAR-MEDIAN
lpr1,fri_c4_1000_100,40,MAE,0.091575371480521,MAR-MEDIAN
lpr1,fri_c4_1000_100,40,MAE,0.144646697212931,MAR-MEDIAN
lpr1,fri_c4_1000_100,40,MAE,0.269952494290468,MAR-MEDIAN
lpr1,fri_c4_1000_100,40,MAE,0.137350095233274,MAR-MEDIAN
lpr1,fri_c4_1000_100,60,MAE,0.139056314927058,MAR-MEDIAN
