mean,knn,mice,pmivae,saei,lpr2
1.3657540530606993,1.3560834247325813,1.3437587874109633,1.3499240079055133,1.3700107771422803,1.3761589172629412
1.3332512765224234,1.3701164023838763,1.3743733274554502,1.3255658620416262,1.3681223211574394,1.3430525206318893
1.2758339423734053,1.3002947917413852,1.2736289402144823,1.2445015535855082,1.3654029548027262,1.3008146863876142
1.2475030867149401,1.2779531744156953,1.2482803366497472,1.2346543207334573,1.3844512661475943,1.2769442217189522
1.3296238611311262,1.3119370250882743,1.2647404351287632,1.3079149117063122,1.3396403538576382,1.2757087420883273
1.3426745643356561,1.3195582781479542,1.3242570955193032,1.3173671330709373,1.3738659244714984,1.3394253634235722
1.3373708675728453,1.3454455163198453,1.3122643307994142,1.2887159232935483,1.3564686853282542,1.3330278570475862
0.45374388003053534,0.44747343783485527,0.4515028981643252,0.4512318432611353,0.45348305521622523,0.45387242827992536
0.6621266226705053,0.6599138895903692,0.6639066959961123,0.6598681758091602,0.6604499629911222,0.6621871237180372
0.12397955801812532,0.11983643881879535,0.11558611489553527,0.12283292518318523,0.12477829758385517,0.12244129141010518
1.0561277785459402,1.0468326814535613,1.0509409128239993,1.0515488601215983,1.0545837958284703,1.0522433758236323
1.1805470667426192,1.1737570598453693,1.1734979991007373,1.1774417063836013,1.1756524824639891,1.1740140783260702
0.4829770692270752,0.9189977216650103,0.9464362605496732,0.9455840190329522,1.4148404911865227,0.9324552865989193
1.4074505883643011,0.9349423183700932,0.9239707968457892,1.3311875775101853,1.412961703280897,1.4079911219380103
0.7101000937462082,0.7802550608111682,0.2514356378882252,1.3703091284188733,1.3703970496136764,1.4126631124513402
1.3888142204380423,0.8720596437476883,1.1726985437638253,1.2636351135730182,1.1083378673076774,1.3223058853593472
1.3658279334903263,1.1920850310449362,1.3745225474213802,1.3910234999791753,1.3755660511368413,1.1645637951146373
0.9764474890330013,1.3757466242301672,1.4024749343569252,1.3997395325431803,1.3908905444885842,1.1743501565386143
1.4019998930513933,1.3003523004606412,1.4035294875085853,1.3550845847559503,1.4041076930609953,1.4005156820991573
1.3959045464275643,1.3832319096252792,1.3724810628246953,1.3896946425484482,1.3850010162503383,1.2361949791542113
1.2638270974885821,1.3831316621404381,1.1000851441156243,1.3417893991094902,1.3898522213810642,1.1180282116013114
1.3730630824314223,1.3753984463704343,1.2785293672258213,1.1792715309939632,1.2289785510024263,0.01663146440125529
1.2091024269999062,1.2161816907523353,1.2130082834181684,1.2130651657495481,1.0223148001909703,1.2136776357680343
1.2579235093199663,1.2507927536672592,1.2401855539688642,1.2539381430481433,1.252473719224663,1.2546796759537202
